Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Vikram Singh,BJP, 2 ,10th Pass,53,16829247,996362
Yajpal Singh Rathi,IND,0,10th Pass,65,15623984,0
Amit Kumar,IND,0,Graduate Professional,43,2301640,0
Chandan Chauhan,RLD, 2 ,Graduate Professional,33,63536901,2624321
Hem Lata,IND,0,Post Graduate,53,307595713,2206720
Jamil Ahmad,INC, 2 ,Literate,60,9791842,0
Km. Priti,Rashtra Nirman Party,0,Post Graduate,25,0,0
Madan Pal,IND,0,8th Pass,38,1821000,0
Mo. Salim,BSP,0,Literate,29,7867941,0
Prashant Chaudhary,BJP, 1 ,Post Graduate,57,321140435,2206720
Pravez Alam,Rashtriya Samaj Dal (R),0,Graduate Professional,32,55000,0
Shah Alam,IND,0,Literate,36,5522111,0
Umesh,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,37,3915000,0
Arvind Yadav,Sarv Samaj Party,0,5th Pass,32,654000,0
Bela Mati,Bharatiya Subhash Sena,0,Illiterate,48,3431000,0
Ikrar Husain,IND,0,8th Pass,47,826000,0
Mohd Sharik,IND,0,10th Pass,35,3493788,0
Moti Ram Rajpoot,Sabka Dal United,0,10th Pass,52,652570,0
Sanjay Singh Gangwar,BJP, 4 ,Graduate,47,55199374,14912048
Shailendra Singh Gangwar,SP, 1 ,Post Graduate,47,73155966,9022369
Shane Ali,BSP,0,12th Pass,28,7718034,0
Ashish Gupta,AAP,0,Graduate Professional,29,1174838,0
Brij Lal,Bahujan Mukti Party,0,12th Pass,34,612300,29000
Harpreet Pal Singh,INC, 8 ,Graduate,37,2297638,1000000
Hemraj Verma,SP, 7 ,Graduate,46,17998139,306000
Jaydrath Alias Pravaktanand,BJP, 1 ,Graduate,49,1976902,1782645
Kishan Lal,Bharatiya Subhash Sena,0,10th Pass,42,2891000,0
Mohan Swaroop,BSP,0,10th Pass,44,3840000,820000
Ram Kumar,Sabka Dal United,0,Literate,61,13243000,658700
Sarvesh Muni Pathriya,Bharatiya Jan Jagriti Party,0,Graduate,32,56000,0
Amit Kumar,IND,0,12th Pass,33,77000,0
Arti,SP,0,Post Graduate,29,28853729,0
Ashok Kumar Raja,BSP,0,Graduate Professional,53,23853096,2071000
Baburam,BJP, 1 ,Graduate Professional,59,13201314,0
Deepti Verma,IND,0,Post Graduate,33,4115000,0
Ishwar Dayal Paswan,INC,0,Graduate Professional,46,9490000,0
Kamlesh Kumar,Log Party,0,12th Pass,25,475000,0
Rakesh David,Rashtriya Teesara Vikalp Party,0,Literate,41,138000,0
Rameshwar Dayal,Bharatiya Subhash Sena,0,Illiterate,65,2620000,0
Rampal,IND,0,10th Pass,54,6587000,700000
Vinod Kumar Bharti,IND,0,Literate,33,75000,0
Anis Ahmed Khan Phool Babu,BSP,0,Graduate,56,52722129,0
Bheemsen Sharma,CPI, 1 ,10th Pass,57,1195000,0
Dharampal Gangwar,AAP,0,Graduate Professional,55,22335000,20000000
Divya Gangwar,SP,0,Graduate,50,125061551,3600000
Girish Shrivastava,Naitik Party,0,12th Pass,29,2572000,0
Manoj Singh Kushwaha,Jan Adhikar Party, 1 ,Graduate Professional,38,4729000,0
Nitin Pathak,IND, 1 ,Post Graduate,36,8460000,300000
Pradeep Kumar,IND, 2 ,Graduate Professional,27,760000,0
Rajaram Mathur,Aazad Samaj Party (Kanshi Ram),0,Graduate Professional,49,3360846,0
Rajesh Chandra Arvind,IND,0,Post Graduate,50,35096139,2800000
Rajesh Kumar,Sabka Dal United,0,10th Pass,56,2393655,26000
Shikha Pandey,INC,0,Post Graduate,30,1942000,0
Sushil Kumar Shukla,IND,0,Graduate Professional,52,1311566,115667
Vivek Kumar Verma,BJP, 4 ,Post Graduate,52,10585000,700000
Abdul Wahid,INC,0,Post Graduate,56,12240000,0
Abhay Kumar Alias Dhiraj Ojha,BJP, 3 ,Graduate Professional,45,40303404,1239618
Ajay Yadav,BSP,0,12th Pass,43,151024288,0
Anil Kumar,All India Majlis-E-Ittehadul Muslimeen, 3 ,12th Pass,42,3981295,0
Anurag Mishra,AAP,0,Doctorate,42,6154405,966774
Brijlal,Bahujan Mukti Party,0,Graduate,47,1270000,0
Dharmendra Kumar,Aazad Samaj Party (Kanshi Ram),0,10th Pass,41,626500,0
Harishankar Prajapati,Bharatrashtra Democratic Party,0,10th Pass,61,5009000,1300000
Lal Bahadur,IND,0,Graduate Professional,54,1852000,0
Rajesh Kumar,IND,0,12th Pass,42,675000,0
Rakesh Kumar Verma Alias Dr. R. K. Verma,SP, 1 ,Graduate Professional,49,70083790,1484365
Ramfer Pandey,Meydhaa Party,0,8th Pass,57,5097643,81707
Sanjay Kumar Alias Sanjay Raj Patel,JD(U),0,Graduate Professional,45,1786323,550000
Satya Prakash,Atal Janshakti Party,0,Graduate,34,1683000,763000
Ajay Yadav,AAP, 1 ,12th Pass,26,2852000,0
Fulchandra,BSP, 1 ,5th Pass,64,13920000,0
Kaushalendra Pandey,IND,0,Graduate,38,3293547,300000
Mujammil Hussain,Jan Adhikar Party,0,10th Pass,47,246000,0
Nand Lal,Bahujan Mukti Party,0,Graduate Professional,62,425000,0
Rajendra Pratap Singh Alias Moti,BJP,0,Graduate Professional,67,153259367,3922500
Rajmani,SUCI(C), 1 ,10th Pass,59,3242000,0
Ram Abhilash,Apana Dal Balihari Party,0,10th Pass,69,3681354,0
Ram Singh,SP, 6 ,Post Graduate,39,42593762,7578005
Sunita,INC,0,Graduate,36,666000,0
Ashok Kumar,IND,0,Graduate Professional,56,3490000,0
Ashutosh Tripathi,BSP,0,Graduate Professional,39,14612589,740354
Dinesh Kumar Upadhyay,AAP,0,Graduate Professional,53,3382460,0
Harikesh Kumar,IND, 3 ,8th Pass,40,8517000,1051788
Israr Ahmad,All India Majlis-E-Ittehadul Muslimeen, 1 ,Graduate,50,6101681,230000
Krishna Patel,Apna Dal (Kamerawadi),0,Not Given,65,141218295,20482000
Mohammad Irshad,Apana Dal Balihari Party,0,Graduate Professional,73,5929639,0
Neeraj Tripathi,INC, 3 ,Doctorate,41,5187982,0
Paritosh Kumar,IND,0,Graduate,30,337204,0
Rajendra Kumar,BJP, 2 ,Graduate,54,54720241,1600500
Ram Ajor,Bahujan Mukti Party, 1 ,Post Graduate,65,17395000,370000
Ram Bahadur Sharma,Moulik Adhikar Party,0,Post Graduate,71,2320014,0
Ajay Sharma,Bharatiya Sarvjan Vikas Party, 1 ,Post Graduate,38,3262566,600000
Anil Kumar,Log Party,0,Graduate Professional,45,4671215,0
Jeet Lal,Apna Dal (Soneylal),0,Graduate,53,6488660,110000
Maharani Deen,CPI,0,12th Pass,60,1496300,0
Mohd Ashfaq,Jan Adhikar Party,0,Literate,37,41068966,17400000
Mohd Khalid,IND,0,Post Graduate,27,2395000,0
Pankaj Pal,AAP,0,Graduate,31,554796,0
Prashant Singh,INC,0,Graduate Professional,25,80116,0
Rajesh,IND,0,8th Pass,52,8362000,274600
Ramdarash Saroj,Bahujan Mukti Party, 1 ,Graduate Professional,38,2482500,0
Sanjay,BSP,0,Graduate Professional,56,33303277,150000
Sanjay Pandey,IND,0,Graduate Professional,43,90203726,1395000
Sarita Pal,Rashtra Uday Party,0,12th Pass,35,1308841,0
Saurabh Singh,SP,0,Graduate Professional,28,33661159,5471527
Shiv Murat Ram Smuj Sharma,Moulik Adhikar Party,0,8th Pass,51,1602044,0
Sushil Kumar,SHS, 2 ,10th Pass,31,1264320,150000
Sushil Kumar Tiwari,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,Post Graduate,31,130400,0
Vinod,Rashtriya Janshanti Party,0,Post Graduate,49,80000,0
Vishnudatt,IND,0,10th Pass,69,927216,0
Dharmaraj,Bahujan Mukti Party,0,Post Graduate,39,1203000,0
Dhirendra Kumar,IND, 3 ,12th Pass,34,1200000,300000
Gulshan Yadav,SP, 20 ,10th Pass,38,33059054,725916
Harivansh Kumar,IND,0,Post Graduate,64,1970753,0
Jayesh Singh,IND,0,Graduate,29,1950000,0
Mu Phaheem,BSP, 1 ,10th Pass,40,15450182,800000
Raghuraj Pratap Singh,Jansatta Dal Loktantrik, 1 ,Graduate,52,236971038,0
Seema,IND,0,Post Graduate,36,33059054,725916
Sindhuja Mishra Senani,BJP,0,Post Graduate,57,522036165,12486730
Tanveer,IND,0,Post Graduate,42,620000,0
Yogesh Kumar,INC,0,10th Pass,34,62000,0
Girish Chandra,SP, 3 ,12th Pass,55,26659501,1761740
Keshav Prasad,BJP,0,12th Pass,60,7660000,0
Ram Pratap Saroj,Bahujan Mukti Party,0,12th Pass,28,1811500,0
Sita Ram,IND,0,Graduate Professional,44,15311623,0
Sushil Kumar,BSP,0,Post Graduate,41,2291587,0
Veena Rani,INC,0,Graduate,60,38432500,150000
Vijay Pal Saroj,LJP, 1 ,8th Pass,43,8600000,0
Vinod Kumar,Jansatta Dal Loktantrik, 2 ,Post Graduate,43,38216704,8958
Vinod Kumar,IND,0,Graduate,31,238242,0
Ajeet,AAP,0,Graduate Professional,36,4761524,1700000
"Aradhana Mishra, Mona",INC, 6 ,Graduate,47,340621305,0
Awadhesh,Apana Dal Balihari Party,0,Graduate,46,6520000,0
Bankelal Patel,BSP, 2 ,Graduate Professional,51,7255000,320000
Devendr Pratap,IND, 1 ,Graduate,29,2175292,0
Durgesh Kumar,Lok Dal,0,Graduate,42,2930000,300000
Karan Alis Karan Bahadur Singh,Rashtriya Rashtrawadi Party,0,Graduate,47,6213217,915000
Kuldeep Singh,IND,0,12th Pass,33,932500,0
Lalji,JD(U),0,10th Pass,45,7616000,0
Ramraj Saroj,Bahujan Mukti Party, 1 ,Graduate,35,2413200,0
Ravindra Kumar,Sarvodaya Bharat Party,0,Graduate,52,4409000,300000
Samay Nath,Moulik Adhikar Party,0,Graduate,42,224000,0
Surendra Singh,SHS,0,Post Graduate,45,31932454,2150000
Ansar Ahmad,SP, 1 ,8th Pass,67,71795786,1605988
Dilip Kumar Kushwaha,IND,0,Post Graduate,51,20577600,2864962
Durgesh Panday,INC,0,10th Pass,46,2235890,0
Guru Prasad Maurya,BJP,0,Graduate,53,14335781,322734
Gyan Prakash Mourya,Jan Adhikar Party,0,Post Graduate,52,13529726,1492160
Jitendra Kumar Bhartiya,LJP,0,Graduate,27,213000,0
Lakshmi Narayan,Jansatta Dal Loktantrik,0,Graduate,38,24747024,9887856
Mangla Prasad Pal,Rashtra Uday Party,0,Others,58,4136048,0
Mithlesh Kumar Prajapati,IND,0,8th Pass,35,423240,0
Om Prakash,BSP,0,Post Graduate,44,18227473,2286042
Pankaj Pandey,Akhil Bharatiya Socialist Party, 2 ,Graduate Professional,42,3956071,130005
Parul Jaiswal,IND,0,Post Graduate,32,24747024,9673096
Praveen Kumar,IND, 1 ,10th Pass,46,4083000,0
Rajeswari Patel,Jan Jan (United) Party,0,Post Graduate,44,14851263,3241704
Sanjay Prakash Shukla,AAP,0,Graduate,54,9130550,640960
Sanjaya Kumar Yadav,Right to Recall Party,0,12th Pass,26,25663,0
Shivendra Kumar,IND,0,Graduate,32,2074409,0
Subhash Chandra,Samyak Party,0,12th Pass,42,20000,0
Udai Bhan Singh Yadev,IND,0,Post Graduate,39,622000,600000
Vinod Kumar,Yuva Vikas Party,0,Graduate,44,504000,0
Vinod Kumar Pandey,IND,0,Graduate Professional,61,7085000,0
Anand Bharti,BSP,0,Graduate,38,9923238,1000000
Anil Kumar Gautam,Aazad Samaj Party (Kanshi Ram),0,12th Pass,34,2425000,300000
Dr. Jamuna Prasad Saroj,Apna Dal (Soneylal),0,Post Graduate,52,27110654,2873210
Geeta Shastri (Pasi),SP,0,12th Pass,57,20701440,1000000
Lallan,AAP,0,12th Pass,51,470000,155000
Manoj Kumar Pasi,INC,0,Graduate,31,40590,0
Pradeep Kumar Jatav,Ambedkarite Party of India,0,Graduate Professional,35,2081300,0
Rakesh Kumar,Lok Samaj Party,0,5th Pass,40,756000,50000
Rakesh Kumar Gautam,IND,0,10th Pass,47,21257,0
Ratnesh Kumar Chaudhari,Pragatisheel Samaj Party,0,Graduate,27,78100,0
Sita Ram,All India Majlis-E-Ittehadul Muslimeen,0,12th Pass,61,1321500,0
Sudhir Kumar,Jansatta Dal Loktantrik, 1 ,Graduate,33,528500,100000
Bhanu Pratap Singh,IND,0,Graduate,57,7020000,0
Dr.Ashok Maurya,Peoples Party of India (Democratic),0,12th Pass,50,1722166,0
Hari Lal Sahu,IND,0,5th Pass,55,6100000,0
Mohd.Mujataba Siddiqui,SP,0,Graduate Professional,66,50915842,12708873
Mridula Singh,Jan Adhikar Party,0,Post Graduate,54,42806725,0
Praveen Patel,BJP, 1 ,Post Graduate,43,402603596,21784766
Rakesh Kumar,Loktantrik Janwadi Party,0,Graduate,49,160000,0
Ram Surat,AAP,0,Post Graduate,39,558500,0
Ram Taulan Yadav,BSP, 2 ,12th Pass,48,185688064,0
Salik Ram,Bhartiya Kamgar Party,0,12th Pass,53,8173000,0
Sandeep Kumar,Bharat Vaibhav Party,0,12th Pass,28,4446025,200000
Shyam Sundar Pal,Rashtriya Samaj Paksha,0,Graduate,37,208000,600000
Siddhanath Maurya,INC,0,12th Pass,45,1409907,0
Tahseen Ahmad,Akhil Bharatiya Socialist Party,0,10th Pass,47,3684200,0
Vimal Kumar Gupta,IND,0,Graduate,28,600000,0
Afatab Alam,Aazad Samaj Party (Kanshi Ram),0,12th Pass,50,6669250,0
Arvind Kumar Vishwakarma,Samyak Party,0,Graduate Professional,32,695000,0
Dharmendra Kumar,IND,0,Illiterate,37,75768,0
Durvijay Singh,Pragatisheel Manav Samaj Party,0,Graduate,53,8151863,0
Fazlur Rahman,IND,0,Graduate Professional,48,13758393,4500000
Ghanshyam,SHS,0,Graduate Professional,31,265000,0
Ghanshyam Pandey,BSP,0,Graduate Professional,65,96817094,2067337
Gita Devi,Bhartiya Kamgar Party,0,12th Pass,47,24062350,3050000
Harishchandra,AAP,0,Post Graduate,64,45890803,2000000
Hira Mani,IND,0,Literate,59,8000,0
Kamal,Vikassheel Insaan Party,0,8th Pass,38,150000,0
Kripa Shankar Yadav,IND,0,Graduate Professional,43,2484497,0
Manju Maurya,Jan Adhikar Party,0,12th Pass,58,11937726,0
Mohd Ahmad Ansari,Peace Party,0,12th Pass,62,15087963,246894
Narend Kumar,Peoples Party of India (Democratic),0,Post Graduate,31,409000,0
Rakesh Dhar Tripathi,Apna Dal (Soneylal), 1 ,Doctorate,71,55032792,8715000
Ram Kailash,IND,0,Post Graduate,44,735000,0
Ramesh Chandra,IND,0,10th Pass,38,458500,0
Sanjay Tiwari,INC, 1 ,Post Graduate,51,6862000,0
Sanju Devi,Pragatisheel Samaj Party, 1 ,Graduate,30,120000,0
Sujeet Kumar,Bharat Vaibhav Party,0,8th Pass,44,4216675,70350
Vijama Yadav,SP, 2 ,Literate,51,34640753,3764767
Vikash Yadav,IND,0,12th Pass,27,597540,0
Vinod Kumar,Janadhar Shakti Party,0,12th Pass,36,170000,0
Ziaoul Haque,IND, 2 ,12th Pass,58,7561000,436573
Avanish Kumar,Akhil Bharatiya Socialist Party,0,Post Graduate,36,1883000,320000
Gulab Chandra,Jan Adhikar Party,0,8th Pass,55,2200000,0
Hakim Lal Bind,SP, 3 ,Graduate,44,34639160,8795711
Lal Sahab,IND,0,Graduate,36,4425000,600000
Madan Chandra,Pragatisheel Manav Samaj Party,0,Graduate,34,452300,0
Narendra Kumar Alias Munna Tripathi,BSP, 3 ,Post Graduate,55,30850000,2000000
Pawan Kumar Tiwari,AAP, 1 ,Graduate Professional,41,2942288,0
Prashant Kumar Singh Rahul,Nirbal Indian Shoshit Hamara Aam Dal,0,Graduate Professional,35,60684909,358429
Raj Bahadur,IND,0,Graduate,32,309000,0
Ravi Dhar Tripathi,IND,0,12th Pass,41,107000,0
Reena Kumari Bind,INC,0,Graduate,30,1034852,0
Shashank Shekhar Singh,IND,0,Post Graduate,32,8419000,0
Awdhesh Kumar,Aazad Samaj Party (Kanshi Ram),0,12th Pass,48,302000,800000
Babaloo Kumar,Jan Adhikar Party,0,Graduate,33,12450000,650000
Dayashankar,Vikassheel Insaan Party, 1 ,12th Pass,48,153100,0
Dhirendra Pratap,Bhartiya Shakti Chetna Party,0,Post Graduate,43,10131000,0
Haider Abbas,LJP,0,Graduate,29,8900,0
Neelam Karvariya,BJP,0,Post Graduate,52,215698518,5927120
Praveen Kumar,Samyak Party,0,Post Graduate,38,21300,0
Ram Kumar Mishra,AAP,0,Doctorate,43,3030834,7123357
Rampal,Parivartan Samaj Party, 3 ,10th Pass,49,11381000,300000
Sandeep Singh,SP, 3 ,Graduate,51,111292361,36424458
Sarvesh Chandra Tiwari,BSP, 9 ,Post Graduate,37,7528560,0
Shalini Dwivedi,INC,0,Post Graduate,27,233500,0
Shrikant,Pragatisheel Manav Samaj Party,0,12th Pass,60,3910000,0
Vivekanand,Bharat Vaibhav Party,0,12th Pass,48,100000,0
Anil Kumar Singh,Bahujan Mukti Party,0,Graduate,43,1104741,550000
Arvind Kumar Shukla,BSP,0,12th Pass,41,14427406,10140788
Dhanraj Singh,Yuva Vikas Party,0,Post Graduate,46,3361000,2000000
Jagannath Patel,AAP,0,Graduate,64,9778500,0
Om Guru Charan Das,Sanatan Sanskriti Raksha Dal,0,10th Pass,47,287000,0
Piyush Ranjan Nishad,BJP, 2 ,12th Pass,49,97600969,8948624
Pramod Kumar,IND,0,Graduate,40,1478600,61000
Rajupal,Rashtriya Shoshit Samaj Party,0,Graduate,35,1050000,500000
Rinki Patel,INC,0,Graduate,28,213000,500000
Ujjwal Raman Singh,SP,0,Graduate Professional,49,236523888,22200080
Vinay Kumar,IND,0,Graduate,34,770000,0
Adv. Sushmita Raghav,AAP,0,Graduate Professional,43,11124725,2936818
Ajay Kumar Gupta,IND,0,Post Graduate,53,5739000,0
Ajeet Kumar Chaudhary,Peoples Party of India (Democratic),0,Graduate Professional,35,2441000,300000
Dilshad Ahmad,National Democratic Peoples Front,0,Literate,30,31900,0
Ganesh Ji Tripathi,IND, 1 ,Graduate,57,15372000,0
Gulam Qadir,BSP,0,8th Pass,48,13554255,1000000
Kamar Jahan,IND,0,12th Pass,31,239164,0
Kamlesh Kumar Singh,Parivartan Samaj Party,0,12th Pass,34,25335000,0
Richa Singh,SP, 16 ,Doctorate,35,3772356,0
Saklain Mushtak,IND,0,8th Pass,26,110000,0
Sidharth Nath Singh,BJP,0,Graduate,58,323897885,76035288
Tasleem Uddin,INC,0,12th Pass,58,40088153,3160273
Anil,IND,0,Graduate Professional,54,3455669,0
Anugrah Narain Singh,INC, 1 ,Graduate Professional,70,13345785,0
Harshvardhan Bajpai,BJP, 2 ,Graduate Professional,40,86702441,5370184
Mo. Ali,All India Majlis-E-Ittehadul Muslimeen,0,Graduate,56,8131100,0
Rajeev Kumar Pandey,Akhil Bharatiya Socialist Party,0,Post Graduate,52,46767094,0
Ratan Srivastava,Rashtravadi Vikas Party,0,Graduate,49,21367619,1800000
Sandeep Yadav,SP, 35 ,Graduate,32,582021,0
Sanjay Goswami,BSP,0,12th Pass,58,73968606,96227230
Sanjiv Mishra,AAP,0,Graduate,45,26995316,9003771
Alpana Nishad,INC,0,Graduate Professional,36,3391562,0
Altaf Ahmad,AAP, 9 ,Graduate Professional,43,679571,3197134
Devendra Mishra Nagraha,BSP, 1 ,Graduate Professional,55,30396465,3776172
Gopal Swaroop Joshi,IND,0,12th Pass,75,1594101,0
Kailash Chandra Kesarwani,Samyak Party,0,Literate,60,494026,0
Kamala Prasad,Ambedkar Yug Party,0,Graduate Professional,56,4075000,0
Mohammad Farhan,All India Majlis-E-Ittehadul Muslimeen, 1 ,Graduate Professional,32,6861391,250000
Nand Gopal Gupta (Nandi),BJP, 7 ,12th Pass,47,373206000,50828000
Raish Chandra Shukla,SP,0,12th Pass,60,100722123,27551251
Santosh Pal,Bhartiya Shakti Chetna Party,0,Graduate Professional,41,509062,0
Ajay,SP,0,Graduate,44,60525432,14757470
Ajeet Bhaskar,IND,0,Post Graduate,33,1402787,0
Ayodhya Prasad Kol,CPI, 1 ,Graduate Professional,42,1157933,0
Dr Ajay Kumar,BSP, 2 ,Post Graduate,53,100790600,4189000
Kanhaiya Lal,AAP,0,Graduate,64,39371000,0
Manju Sant,INC,0,Post Graduate,42,6477451,300000
Rajendra Prasad,IND,0,12th Pass,37,7078000,0
Ram Kumar Vidyarthi,Peoples Party of India (Democratic),0,Graduate,59,2163782,0
Ravita Devi,Jan Kalyan Party,0,8th Pass,42,475233,0
Sumitra Varun,Akhil Bharatiya Socialist Party,0,Doctorate,71,8734840,0
Vachaspati,Apna Dal (Soneylal), 4 ,Post Graduate,65,182299003,0
Vivek Kumar,IND,0,Graduate,33,2207000,0
Akabal Bahadur,Rashtriya Samaj Dal (R),0,5th Pass,53,11300000,0
Arati Devi,SHS,0,Graduate,35,2640000,1000000
Ashok Dhuriya,Jan Adhikar Party,0,Graduate Professional,49,137254,0
Chiraunji Lal,CPI(M),0,12th Pass,57,672100,0
Dharmadas,Vikassheel Insaan Party,0,Literate,67,630319,0
Harish Chandra,AAP,0,12th Pass,63,10650000,0
Raj Mani,BJP,0,Post Graduate,61,6933477,0
Rajbali Jaisal,BSP, 2 ,Graduate,54,12334462,10000000
Ram Deo,SP, 3 ,Literate,57,3676100,103400
Ramkripal,INC, 2 ,Graduate,57,2496997,0
Santosh Kumar,Sanatan Sanskriti Raksha Dal,0,12th Pass,29,128000,0
Siya Ram,Samyak Party,0,12th Pass,38,903000,0
Babulal,Sabka Dal United,0,8th Pass,46,4125000,0
Chandrashekhar,Moulik Adhikar Party,0,Literate,40,364500,0
Deepanker,AAP,0,Post Graduate,25,57500,0
Lajwanti Kuril,BSP,0,10th Pass,49,21746413,2240946
Laxmikant,Apna Dal (Soneylal),0,8th Pass,41,7658000,0
Om Prakash,IND,0,Post Graduate,43,2165000,190000
Pooja Jaisawar,IND,0,Graduate Professional,27,62000,0
Shyam Sunder,SP, 1 ,10th Pass,54,6416150,0
Sushil Kumar Pasi,INC, 2 ,Post Graduate,46,24665319,134639
Ashok Kumar,IND, 2 ,10th Pass,49,1302000,0
Bachchu Lal,IND,0,Illiterate,62,183772,0
Girja Shankar,Sabka Dal United,0,Post Graduate,63,4702000,0
Rahul Kumar,IND,0,Graduate,30,265686,0
Rahul Rajpoot,SP,0,Graduate,25,27597000,0
Rakesh Kumar,IND,0,10th Pass,55,879400,0
Rakesh Singh,BJP, 2 ,Graduate,46,336272775,9331380
Ram Mohan Sahu,Parivartan Samaj Party,0,12th Pass,46,6838100,140000
Ram Swaroop,Bahujan Mukti Party,0,Graduate Professional,58,2238000,0
Rupesh Chandra Vishwakarma,IND,0,Post Graduate,30,41438,0
Sher Bahadur,BSP, 3 ,Graduate,36,11282000,0
Surendra Vikram Singh,INC, 2 ,12th Pass,60,26773231,0
Sushma,Log Party,0,Graduate,32,554009,0
Vimal Kishor,AAP,0,Post Graduate,47,8718873,0
Aditi Singh,BJP,0,Post Graduate,34,309853494,36181193
Dr. Manish Chauhan,INC,0,Post Graduate,47,162075203,30982124
Gaurav Singh,AAP,0,Graduate,33,1972934,832000
Kuldeep Yadav,IND,0,Post Graduate,31,118800,0
Mahmood Ahmad,IND,0,Literate,44,128000,0
Mansingh Patel,Akhil Bhartiya Apna Dal, 3 ,Post Graduate,62,20060000,0
Mo. Ashraf,BSP,0,8th Pass,44,7407569,0
Phoolchandra,CPI(ML)(L), 1 ,Literate,44,518500,0
Radhe Shyam,Jan Adhikar Party, 2 ,Graduate,36,4123000,2500000
Raghvendra,Hindustan Samaj Party,0,Graduate,50,1170000,470000
Ram Bahadur,IND,0,8th Pass,43,848000,0
Ram Pratap Yadav,SP, 8 ,Post Graduate,51,2302515,1000
Sartaj Ali,IND, 1 ,Graduate,38,1260609,160300
Suryanath,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,43,799000,0
Amit Kumar,JD(U),0,12th Pass,32,1053000,0
Arjun Kumar,INC, 2 ,Post Graduate,31,13168202,2735000
Ashok Kumar,BJP,0,Post Graduate,42,6586548,500000
Jagdish Prasad,SP,0,Graduate Professional,66,153205987,0
Kamalesh,IND,0,Graduate,51,4891100,2500000
Radheyshyam,AAP,0,10th Pass,45,1659000,0
Shakti Shekhar,IND,0,12th Pass,36,215000,92000
Sudarshan Ram,Bhartiya Panchsheel Party,0,Others,64,7526539,0
Svati Singh,BSP,0,Graduate,28,45026000,2000000
Abhay Kumar,IND,0,12th Pass,36,442000,0
Anil Kumar,IND,0,Graduate,50,1028000,0
Devendra Pal,AAP,0,Graduate Professional,27,131495,0
Devendra Pratap Singh,SP,0,Post Graduate,64,26598082,1542811
Dharmendra Kumar,Rashtrawadi Party of India,0,Graduate,49,1343045,434479
Dhirendra Bahadur Singh,BJP, 10 ,Graduate Professional,57,17940469,6800000
Hori Lal,Pragatisheel Samaj Party,0,Graduate Professional,64,968500,135000
Manoj Kumar Sharma,Vikassheel Janta Party,0,8th Pass,37,8966222,6800000
Manorama,Akhil Bhartiya Apna Dal,0,Illiterate,60,1130000,0
Ram Manohar,Voters Party International,0,Literate,71,1306894,0
Shivpratap Singh,IND,0,Graduate,37,5503000,0
Sohan Lal,India Praja Bandhu Party,0,8th Pass,55,1086500,0
Sudha Dwivedi,INC, 1 ,Post Graduate,50,150077090,7500000
Thakur Prasad Yadav,BSP,0,12th Pass,54,121867971,20366529
Akshay Pratap Singh,IND,0,Graduate,33,4665000,400000
Amaresh Bahadur,IND,0,12th Pass,39,766942,0
Amarpal Maurya,BJP,0,Post Graduate,41,30698415,6860825
Anjali Maurya,BSP,0,Post Graduate,28,1688591,0
Atul Singh,INC, 4 ,12th Pass,38,13224252,0
Ayodhya Prashad,IND, 2 ,8th Pass,60,2678900,0
Kaushalendra Singh,IND,0,Graduate,36,1083000,0
Manoj Kumar Pandey,SP, 2 ,Graduate,47,162648132,19644235
Pankaj Kumar Patel,Akhil Bhartiya Apna Dal,0,12th Pass,33,466000,0
Pramod Kumar,IND,0,8th Pass,57,3215000,0
Rahul Singh,AAP, 2 ,12th Pass,37,20725000,0
Shailendra Kumar Gupta,IND,0,Graduate,25,1774333,0
Shiv Kumar,IND,0,Graduate,47,354500,0
Adhyapak Shanker Lal,BSP, 1 ,Post Graduate,41,2717236,372000
Arshad Warsi,Minorities Democratic Party, 6 ,Literate,42,23950000,0
Haidar Ali Khan Alias Hamza Mian,Apna Dal (Soneylal), 4 ,Graduate,31,2366864,0
Ikram Hussain,IND,0,5th Pass,33,262000,0
Jagpal Singh,Pichhra Samaj Party,0,Post Graduate,47,5905825,154000
Mohammad Abdullah Azam Khan,SP, 43 ,Post Graduate,31,32867565,0
Mohd Asif,AAP,0,12th Pass,33,1212828,0
Monis Khan,IND,0,12th Pass,27,4070000,0
Ram Raksha Pal Singh Alias Raja Thakur,INC,0,12th Pass,46,21472000,2000000
Shiv Prasad,IND, 1 ,8th Pass,44,6695000,0
Abdul Mustafa Husain,BSP, 2 ,Graduate Professional,42,11638982,0
Akhilesh Kumar,IND,0,8th Pass,51,14311000,700000
Ali Yusuf Ali,INC, 17 ,10th Pass,45,56381548,15480146
Faheem Ahmed,IND,0,Graduate Professional,57,13824922,0
Jitender Kumar,Sabka Dal United,0,Graduate Professional,39,1548831,600000
Kripal Singh,IND,0,Literate,51,11015527,271630
Mohan Kumar Lodhi,BJP,0,Graduate Professional,45,14791597,783009
Naseer Ahmad Khan,SP, 30 ,Post Graduate,83,42688645,0
Rajpal,IND,0,Graduate Professional,39,222000,0
Zubair,Jagrook Janta Party,0,Graduate,41,930000,0
Zulfiqar Ali Turk,AAP,0,Graduate Professional,42,975654,0
Amarjeet Singh,SP,0,Post Graduate,64,35382571,7400000
Baldev Singh Aulakh,BJP,0,Post Graduate,62,36903439,10636602
